mode;euclidean_distance;routed_distance;weight;preceding_purpose;following_purpose
car;17000.0;22100.0;1862.03448872921;work;home
car_passenger;1307.6923076923076;1700.0;3198.9281262001728;home;education
walk;230.76923076923077;300.0;1849.3554433096544;education;leisure
walk;1923.076923076923;2500.0;1849.3554433096544;leisure;home
walk;230.76923076923077;300.0;264.9321066615845;home;shop
walk;230.76923076923077;300.0;264.9321066615845;shop;home
car;19230.76923076923;25000.0;348.4411908115781;home;leisure
car;8153.846153846153;10600.0;348.4411908115781;leisure;leisure
car;9769.23076923077;12700.0;348.4411908115781;leisure;other
car;5384.615384615385;7000.0;348.4411908115781;other;home
car;3846.153846153846;5000.0;481.8551212820245;home;shop
car;6615.384615384615;8600.0;481.8551212820245;shop;home
walk;153.84615384615384;200.0;366.3714157605219;home;shop
walk;384.6153846153846;500.0;366.3714157605219;shop;home
walk;230.76923076923077;300.0;977.7650856807226;home;shop
walk;230.76923076923077;300.0;977.7650856807226;shop;home
walk;692.3076923076923;900.0;977.7650856807226;home;leisure
walk;615.3846153846154;800.0;977.7650856807226;leisure;home
car;5384.615384615385;7000.0;1285.9658086808122;home;other
car;1384.6153846153845;1800.0;1285.9658086808122;other;shop
car;6615.384615384615;8600.0;1285.9658086808122;shop;home
car;53846.153846153844;70000.0;1478.6408926359654;home;work
car;23076.923076923074;30000.0;1478.6408926359654;work;other
car;21153.846153846152;27500.0;1478.6408926359654;other;work
car;43615.38461538462;56700.0;1478.6408926359654;work;work
car;9615.384615384615;12500.0;1478.6408926359654;work;work
car;2923.076923076923;3800.0;1478.6408926359654;work;work
car;19846.153846153844;25800.0;1478.6408926359654;work;home
car;7692.307692307692;10000.0;2320.791848646956;home;other
car;7692.307692307692;10000.0;2320.791848646956;other;home
car;6384.615384615385;8300.0;2320.791848646956;home;other
car;6384.615384615385;8300.0;2320.791848646956;other;home
car_passenger;6384.615384615385;8300.0;1633.3814358212387;home;education
car_passenger;6384.615384615385;8300.0;1633.3814358212387;education;home
car;1538.4615384615383;2000.0;288.6715135499559;home;leisure
car;923.0769230769231;1200.0;288.6715135499559;leisure;home
car;923.0769230769231;1200.0;288.6715135499559;home;leisure
car;846.1538461538461;1100.0;288.6715135499559;leisure;home
pt;4615.384615384615;6000.0;1722.2685911982262;home;education
car_passenger;3769.230769230769;4900.0;2880.06979052981;education;home
car_passenger;6615.384615384615;8600.0;2880.06979052981;home;leisure
car_passenger;4384.615384615385;5700.0;2880.06979052981;leisure;home
pt;33384.61538461538;43400.0;1128.739104508844;home;work
pt;33461.53846153846;43500.0;1128.739104508844;work;home
car;19230.76923076923;25000.0;2144.805102284397;home;work
car;17923.076923076922;23300.0;2144.805102284397;work;home
pt;36846.153846153844;47900.0;872.827426312079;home;work
walk;230.76923076923077;300.0;843.8134084736319;work;leisure
walk;230.76923076923077;300.0;843.8134084736319;leisure;work
pt;39307.692307692305;51100.0;872.827426312079;work;leisure
car_passenger;12153.846153846154;15800.0;1459.5887747789586;leisure;leisure
car_passenger;7307.692307692308;9500.0;1459.5887747789586;leisure;leisure
car;15384.615384615385;20000.0;608.2842985253247;work;work
pt;615384.6153846154;800000.0;478.40275507995784;work;home
bicycle;34615.38461538462;45000.0;5587.222736319993;home;work
bicycle;29538.46153846154;38400.0;5587.222736319993;work;home
car;2307.6923076923076;3000.0;3417.425708934558;home;other
car;1230.7692307692307;1600.0;3417.425708934558;other;home
car;30769.23076923077;40000.0;5494.879965594017;home;work
car;28769.23076923077;37400.0;5494.879965594017;work;work
car;3153.846153846154;4100.0;5494.879965594017;work;home
walk;384.6153846153846;500.0;544.0117138586965;home;leisure
walk;230.76923076923077;300.0;544.0117138586965;leisure;shop
walk;384.6153846153846;500.0;544.0117138586965;shop;home
car;38461.53846153846;50000.0;572.0574932236267;home;other
car;38461.53846153846;50000.0;572.0574932236267;other;home
car;769.2307692307692;1000.0;959.4795521471408;home;work
car;1384.6153846153845;1800.0;959.4795521471408;work;home
car;5384.615384615385;7000.0;959.4795521471408;home;other
car;4461.538461538461;5800.0;959.4795521471408;other;home
pt;42307.692307692305;55000.0;1322.4183173869485;home;work
pt;42307.692307692305;55000.0;1322.4183173869485;work;home
car;769.2307692307692;1000.0;1681.4416096209893;home;other
car;769.2307692307692;1000.0;1681.4416096209893;other;home
